,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,25,10,21.879629701870577,2.5294491141540556,19.350180587716522,33.0,3.36843407902914
1,25,30,25.14762454166688,2.810475834576474,22.337148707090403,33.0,3.888398487664144
2,25,40,22.45129030443366,2.5966025907156673,19.85468771371799,33.0,3.4562574969364213
3,25,50,19.264514790679797,2.3219123922998377,16.94260239837996,33.0,2.949328511299368
4,25,70,13.784689237342212,1.8609079622079556,11.923781275134258,33.0,2.0756638945038137
5,25,90,10.027808832264,1.5977327589479542,8.430076073316046,33.0,1.4674878823710709
6,30,10,21.235499212037155,2.793687642613341,18.441811569423813,27.0,3.5491282913170643
7,30,30,22.900608109102805,2.9297038897809218,19.97090421932188,27.0,3.8434023089952403
8,30,40,20.023191915330454,2.6538648398022926,17.36932707552816,27.0,3.3427285542329463
9,30,50,16.95852173299565,2.343843636962733,14.614678096032918,27.0,2.8125961109547775
10,30,70,12.345533408010574,1.8969040856845014,10.448629322326072,27.0,2.0108396506358583
11,30,90,8.751622039497999,1.5787175982094381,7.172904441288562,27.0,1.3804261033498044
