,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency
0,20,10,19.715973265856473,1.7583425296367563,17.95763073621972,0.68,2.8045107466818924
1,20,20,28.39669376776848,2.2632235286730085,26.13347023909547,0.68,4.081362358443469
2,20,30,27.769452427252904,2.3124285595298355,25.457023867723066,0.68,3.9757191839103436
3,20,40,23.512480468498424,2.147490730770906,21.364989737727516,0.68,3.3366508200523692
4,20,50,19.202466420214108,1.930698153859112,17.271768266355,0.68,2.6973970246249084
5,20,60,15.579651283693694,1.7345519619327452,13.845099321760948,0.68,2.1622412448007955
6,20,70,12.790862201504526,1.5831280167057762,11.207734184798749,0.68,1.7503540098875503
7,20,80,10.784339229512325,1.5012686051272486,9.283070624385076,0.68,1.4497720612878284
8,20,90,9.05064718468666,1.4208090871911148,7.629838097495545,0.68,1.1915805182868844
9,25,10,19.366722456880066,1.9279807986265665,17.4387416582535,0.55,3.0356952706857485
10,25,20,26.596796707428723,2.4915774619093876,24.105219245519333,0.55,4.196180062558181
11,25,30,24.89703004179213,2.4764465662257114,22.42058347556642,0.55,3.9029226165856556
12,25,40,20.241914222691324,2.196500667629279,18.045413555062044,0.55,3.1413032924163766
13,25,50,16.29012648410115,1.9356865257329992,14.35443995836815,0.55,2.4987872605095327
14,25,60,13.210573818757338,1.7240537132001768,11.486520105557162,0.55,1.9995464950633857
15,25,70,11.011530256737627,1.5913489476906875,9.420181309046939,0.55,1.6398430809565683
16,25,80,9.096891393422164,1.4800490939946096,7.616842299427552,0.55,1.3259220532685558
17,25,90,7.758125453568953,1.4196523871068747,6.338473066462077,0.55,1.1033865337480426
18,30,10,18.91427483754917,2.116684562147826,16.797590275401344,0.45,3.2326977557466687
19,30,20,25.028119118495766,2.7211871391339235,22.306931979361845,0.45,4.292971061026411
20,30,30,22.170084508463805,2.572532114774879,19.597552393688925,0.45,3.7715507166513653
21,30,40,17.64971526979247,2.2336549060381157,15.416060363754353,0.45,2.9668222002856983
22,30,50,14.080391506709663,1.9358358755080232,12.144555631201637,0.45,2.337220820954217
23,30,60,11.506181276293784,1.7405513090099012,9.765629967283884,0.45,1.8793963634725421
24,30,70,9.475271427944046,1.5734494546351334,7.901821973308913,0.45,1.5207063477928002
25,30,80,7.983386942329433,1.475330485252826,6.508056457076607,0.45,1.252476049131487
26,30,90,6.6959114009336655,1.3986099566012864,5.29730144433238,0.45,1.0194661382879642
27,40,10,18.6348485792875,2.481461740295298,16.1533868389922,0.35,3.5249579961707243
28,40,20,22.19897343665906,2.9804715013269156,19.218501935332146,0.35,4.193820945824518
29,40,30,18.32982529097499,2.6293855135546575,15.700439777420334,0.35,3.4261168440059193
30,40,40,14.448442741022498,2.2379504941965798,12.210492246825916,0.35,2.664547856845294
31,40,50,11.48617252064462,1.920057008713559,9.566115511931063,0.35,2.087497544767397
32,40,60,9.490674478044637,1.7389447342840534,7.751729743760585,0.35,1.6915661103630246
33,40,70,7.790997572024706,1.558576624352378,6.232420947672328,0.35,1.3600257502636597
34,40,80,6.522413644735185,1.4553136928640231,5.067099951871161,0.35,1.1057318611122233
35,40,90,5.512452292227742,1.3776662076688488,4.134786084558892,0.35,0.9022842959495811
