flip_angle,1,5,9,11,15,20,25,30,40,50,60
10,0.034145772,0.034482564,0.035073387,0.034793668,0.03558514,0.037368379,0.038033936,0.038090939,0.03927658,0.038478659,0.04082081
20,0.017470842,0.018989164,0.020384091,0.020776381,0.022466159,0.024442321,0.026153107,0.027550197,0.030047465,0.031598767,0.033613935
30,0.012749463,0.014656891,0.019116169,0.019953943,0.02164096,0.023832096,0.027155471,0.029938281,0.035477977,0.037636723,0.040004262
40,0.01002039,0.013514248,0.022939092,0.024195413,0.02443893,0.029000432,0.033910872,0.036210075,0.043477322,0.046488645,0.05009515
50,0.008873528,0.013868225,0.029131301,0.031334175,0.02949285,0.037086444,0.040028147,0.044344272,0.054559642,0.056740734,0.061316958
60,0.008088445,0.015045783,0.036685944,0.040435637,0.036065652,0.045507936,0.050146191,0.055443586,0.066747576,0.071250371,0.074227647
70,0.007781645,0.017981387,0.04595502,0.052800345,0.044123564,0.055002705,0.060177722,0.06667739,0.080990168,0.084500531,0.092553874
80,0.007589147,0.021758548,0.055392874,0.06727619,0.051918198,0.06604147,0.072515109,0.081346153,0.091848404,0.102594359,0.109000065
90,0.007377506,0.026217195,0.064808497,0.086273643,0.062529283,0.077818196,0.085244735,0.097632347,0.110964205,0.12027807,0.129857727
