flip_angle,1,5,9,11,15,20,25,30,40
10,26.19503275,25.07838874,24.21589798,23.8360926,22.8232275,21.60567099,20.53045503,19.5145891,17.6055308
20,38.16170684,35.48873781,32.58668661,30.9711962,29.1210465,26.60106417,24.49080319,22.4417504,19.5360654
30,42.5696402,38.30374934,34.07708144,30.4494374,29.1037185,26.24385144,23.1095394,20.5535005,17.1240811
40,44.34619258,38.97013973,32.11019375,26.8079928,27.2515256,23.60160647,20.2744619,17.6526845,14.4474767
50,44.93909281,38.06471591,28.18969428,22.6318392,23.9959994,20.18630441,17.40732759,14.7789287,11.8112778
60,45.48748884,36.11897013,23.70616642,18.532349,20.999758,17.2253258,14.59896668,12.5918122,9.83313993
70,45.57037467,32.56586664,19.55377062,14.7961051,17.716563,14.31808687,12.12558616,10.561253,8.25046033
80,45.65196503,28.19021532,16.57535517,11.6414828,15.1896038,11.97449819,10.15987057,8.79408437,6.85133481
90,45.71439921,23.57002814,14.32484849,9.01985823,12.8241337,9.933099058,8.510791323,7.30326108,5.79568137
